Datei;Variable;Mittelwert;Median;Standardabweichung;Minimalwert;Maximalwert;RMS;Anzahl_Werte
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Yawing;91.29102063115435;48.5728759765625;893.3839530868307;-1245.2318115234375;1518.8113403320303;898.0361563327674;20000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Nodding;707.2784526397387;708.2282079060842;143.58661820206478;215.71102905273312;1080.6939849853559;721.7062605348304;20000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Torque;174.81018800209364;174.72024572517137;3.1295599579953377;162.83609157039217;187.34447144477852;174.83819941551104;20000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].Azimuth;179.79865108520204;179.7399918238334;104.10769989005735;0.014510154724121094;359.99499797821045;207.76421277124814;20000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].PowerReference[0].Rel;100.0;100.0;0.0;100.0;100.0;100.0;1000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].PowerReference[0].Abs;46.0;46.0;0.0;46.0;46.0;46.0;1000
Results_File_5_TOP_13.mat;Data[0].ModelsData[0].Model1[0].AirDensity;1.1299999952316284;1.1299999952316284;0.0;1.1299999952316284;1.1299999952316284;1.1299999952316284;1000
Results_File_5_TOP_13.mat;Data[0].RecordingStart;nan;nan;nan;nan;nan;nan;1
Results_File_5_TOP_13.mat;Data[0].TN;nan;nan;nan;nan;nan;nan;1
Results_File_5_TOP_14.mat;Data[0].Time;3.9998;3.9998;2.3094010738717516;0.0;7.9996;4.618628948075392;20000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Tower[0].FA;-5.512953753415615;-5.49270962130643;1.5894075451862504;-7.945447906371097;-3.1047856461617402;5.737497314334387;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Tower[0].SS;2.3014109835939847;2.3142585639030933;1.0423603121137341;0.679341681301608;3.865314510560801;2.526461465306145;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].RotorSpeed;751.9858904612144;751.9590245552345;0.40167583663351286;751.0981441172834;753.0374818606343;751.9859977394681;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].PitotVelocity;4.5846559739002295;4.584482242984157;0.013155829872187353;4.548018224777712;4.63802057696927;4.584674849417207;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1;0.3993149995803833;0.3993149995803833;0.0;0.3993149995803833;0.3993149995803833;0.3993149995803833;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade1Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2;0.3991750180721283;0.3991750180721283;0.0;0.3991750180721283;0.3991750180721283;0.39917501807212835;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade2Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3;0.39368000626564026;0.39368000626564026;0.0;0.39368000626564026;0.39368000626564026;0.3936800062656403;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Pitch[0].Blade3Dem;0.4000000059604645;0.4000000059604645;0.0;0.4000000059604645;0.4000000059604645;0.40000000596046453;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Yaw;-29.793589652897847;-29.78999900817871;0.004356919598634652;-29.79899787902832;-29.78999900817871;29.793589971468865;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].YawDem;-30.0;-30.0;0.0;-30.0;-30.0;30.0;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].PitotDirection;0.006195068359375;0.006195068359375;0.0;0.006195068359375;0.006195068359375;0.006195068359375;2000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Yawing;157.7589375363986;174.07650756835127;896.5403584925169;-1200.9897054036458;1509.8024546305355;910.3145043217229;20000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Nodding;1002.7153845277786;1007.3043746948225;187.70790031573932;501.32631429036377;1474.7395629882812;1020.1335197951465;20000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Hub[0].Torque;135.50788548133747;135.49492765830507;3.198491447585053;125.3117101081295;146.05249630354206;135.54562838824256;20000
Results_File_5_TOP_14.mat;Data[0].ModelsData[0].Model1[0].Azimuth;180.2909003662507;180.36699040730764;104.062259255298;0.03400230407714844;359.9904996554069;208.16763090401494;20000
